T30,Gross domestic expenditure on research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
40,Austria,2016,Gross domestic expenditure on R & D: Funds from abroad (%),15.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Business enterprises (%),18.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Government (%),77.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Higher education (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Funds from abroad (%),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Business enterprises (%),9.6,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Government (%),88.2,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Higher education (%),0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Private non-profit (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Funds from abroad (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Business enterprises (%),30.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Government (%),67.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Higher education (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Private non-profit (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Funds from abroad (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Business enterprises (%),29.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Government (%),68.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Higher education (%),1.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Business enterprises (%),21.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Government (%),41.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Higher education (%),21.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Private non-profit (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Funds from abroad (%),12.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,Gross domestic expenditure on R & D: Not distributed (%),1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,Gross domestic expenditure on R & D: Business enterprises (%),21.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,Gross domestic expenditure on R & D: Government (%),71.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,Gross domestic expenditure on R & D: Higher education (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,Gross domestic expenditure on R & D: Funds from abroad (%),6.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2008,Gross domestic expenditure on R & D: Business enterprises (%),36.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2008,Gross domestic expenditure on R & D: Government (%),57.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
